base,Cpu,Mem,BMC,seahorn_total,Result
zipcpu_zipcpu_dcache-p236.btor,5.32,482,,,
zipcpu_zipcpu_piped-p466.btor,2.52,423,,,
zipcpu_zipcpu_dcache-p286.btor,5.39,482,,,
zipcpu_zipcpu_dcache-p229.btor,5.33,482,,,
zipcpu_zipcpu_dcache-p238.btor,5.45,481,,,
zipcpu_zipcpu_dcache-p242.btor,5.31,481,,,
dblclockfft_butterfly_ck2_r0-p218.btor,2.05,423,,,
dblclockfft_butterfly_ck2_r0-p232.btor,1.90,423,,,
zipcpu_zipcpu_piped-p475.btor,2.42,423,,,
dblclockfft_butterfly_ck2_r0-p239.btor,1.96,423,,,
dblclockfft_butterfly_ck3_r0-p021.btor,1.61,423,,,
dblclockfft_butterfly_ck2_r0-p249.btor,1.93,423,,,
dblclockfft_butterfly_ck3_r0-p029.btor,1.55,423,,,
zipcpu_zipcpu_piped-p476.btor,2.48,423,,,
dblclockfft_butterfly_ck2_r0-p253.btor,2.08,423,,,
dblclockfft_butterfly_ck3_r0-p042.btor,1.64,418,,,
zipcpu_zipcpu_dcache-p293.btor,5.21,481,,,
zipcpu_zipcpu_piped-p481.btor,2.45,423,,,
zipcpu_zipcpu_piped-p479.btor,2.47,423,,,
zipcpu_zipcpu_dcache-p301.btor,5.44,481,,,
zipcpu_zipcpu_dcache-p304.btor,5.37,481,,,
zipcpu_zipcpu_piped-p509.btor,2.41,408,,,
zipcpu_zipcpu_dcache-p340.btor,5.40,482,,,
zipcpu_zipcpu_piped-p516.btor,2.42,423,,,
zipcpu_zipcpu_piped-p518.btor,2.47,412,,,
zipcpu_zipcpu_dcache-p360.btor,5.30,482,,,
zipcpu_zipcpu_dcache-p351.btor,5.36,477,,,
zipcpu_zipcpu_dcache-p362.btor,5.21,482,,,
zipcpu_zipcpu_piped-p520.btor,2.40,423,,,
zipcpu_zipcpu_piped-p525.btor,2.38,423,,,
dblclockfft_butterfly_ck3_r0-p048.btor,1.43,423,,,
dblclockfft_butterfly_ck3_r0-p051.btor,1.33,423,,,
dblclockfft_butterfly_ck3_r0-p052.btor,1.16,422,,,
zipcpu_zipcpu_piped-p528.btor,1.87,423,,,
zipcpu_zipcpu_dcache-p377.btor,4.44,481,,,
zipcpu_zipcpu_piped-p529.btor,1.95,423,,,
zipcpu_zipcpu_dcache-p388.btor,4.45,482,,,
zipcpu_zipcpu_dcache-p407.btor,4.32,482,,,
zipcpu_zipcpu_dcache-p429.btor,4.16,469,,,
zipcpu_zipcpu_dcache-p428.btor,4.33,468,,,
zipcpu_zipcpu_dcache-p438.btor,4.18,481,,,
zipcpu_zipcpu_dcache-p440.btor,4.07,482,,,
zipcpu_zipcpu_dcache-p451.btor,4.08,482,,,
zipcpu_zipcpu_dcache-p476.btor,3.34,482,,,
zipcpu_zipcpu_dcache-p504.btor,3.31,481,,,
zipcpu_zipcpu_dcache-p506.btor,3.01,487,,,
