base,Cpu,Mem,BMC,seahorn_total,Result
zipcpu_zipcpu_dcache-p377.btor,4.40,481,,,
zipcpu_zipcpu_dcache-p388.btor,4.20,481,,,
zipcpu_zipcpu_piped-p529.btor,1.63,423,,,
zipcpu_zipcpu_dcache-p428.btor,4.12,472,,,
zipcpu_zipcpu_dcache-p407.btor,4.35,472,,,
zipcpu_zipcpu_dcache-p429.btor,3.99,481,,,
zipcpu_zipcpu_dcache-p438.btor,4.03,481,,,
zipcpu_zipcpu_dcache-p451.btor,4.00,481,,,
zipcpu_zipcpu_dcache-p440.btor,4.06,467,,,
zipcpu_zipcpu_dcache-p476.btor,3.43,481,,,
zipcpu_zipcpu_dcache-p504.btor,3.15,481,,,
zipcpu_zipcpu_dcache-p506.btor,3.06,481,,,
